class,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,dist10,dist11,dist12,dist13,dist14,dist15,dist16,dist17,dist18,dist19,dist20,dist21,dist22,dist23,dist24,dist25,dist26,dist27,dist28,dist29,dist30,dist31,dist32,dist33,dist34,dist35,dist36,dist37,dist38,dist39,dist40,dist41
=(,6.6395524308861695,0.10930437975956607,0.10432631439094844,7.456053390798282,0.1651136723211313,15.647785523943112,17.538008469487412,18.381823455973084,18.28207688062706,26.714689307280782,23.251516567614324,35.29786099312,38.281247611879266,18.78913462071196,31.53227895570157,31.428125802463853,34.84212589692386,38.6092499202208,33.91183791302822,22.63417672541892,19.83223834186314,19.749556598491036,17.146478870034436,30.788715412760055,50.119943700742795,35.72154382268302,0.10432631439094844,13.545032736520337,11.77194713329206,52.27539804816739,52.942387404830235,13.555839682094781,11.817265374955044,52.19027670446707,52.84099481462625,24.386403755516213,62.01247713964386,52.81790265037952,51.59864562265829,61.05741750436715,43.5501202957035
=(,6.886786015474923,0.16197530987538716,0.17805311902663165,7.557039817626814,0.12044745372306512,14.93936865720214,18.13134776328463,19.610320050373865,19.443080243800136,27.809651288016212,24.738037630587655,33.630806773334314,37.317850704720726,18.544440097746374,31.583345368634706,31.44849756474381,34.795328279522614,39.1041620695247,33.568969909000465,22.379475246386992,20.117067930397596,20.069536294951767,17.3854412696313,31.290002450774406,49.50419909334743,34.82651027271031,0.17805311902663165,13.566827164860984,11.883685828528492,51.70532629437942,52.540504086580206,13.688003638937477,11.856135570821436,51.527364063192806,52.430393967362996,24.38901625575898,61.43244185704037,52.14240555966762,51.519943539692115,61.18601512390861,43.97679311894877
=(,6.644536881006241,0.17343247633389172,0.1998614630420343,7.290828360097347,0.11432812658832936,15.100269683495938,18.193893913916988,19.36904890902009,19.17142429418534,26.9118294825071,23.959605273224263,33.50347009751261,37.378993956956094,18.66801732888898,31.312495812767118,31.1398534139994,33.95583858309708,38.47641297045023,33.37576717578191,22.279399967883883,19.567257150010022,19.481253871537753,16.475422006012824,30.626533566183735,49.387732716159874,34.87443316328845,0.1998614630420343,12.701944346351437,11.880238976646512,51.55264726915148,52.09946824699166,12.805926989103893,11.877295813751312,51.35494259017791,51.950070364167956,23.765325423727653,60.41392249523422,51.3084371886524,50.90880163546364,60.45615603945369,43.77587533831291
=(,6.786951394518352,0.1887961064635497,0.17087397778916735,7.282616897799382,0.09226235019067623,15.093045941239982,18.283061406096117,19.512901564685254,19.3580593637119,27.514173062943314,24.363363888908175,33.39934524508683,37.489223934374195,18.672359216341196,31.49119242024628,31.373292916924584,34.41447622398568,38.840198213428664,33.37140820786305,22.396251248611993,19.86761801446836,19.839330570671375,16.85563675564048,30.936469136009386,49.38495287345449,34.82335734903326,0.17087397778916735,13.353677116214953,11.797060445316305,51.51093179621563,52.350210024606014,13.479624443954735,11.751955817970483,51.34154188721829,52.259318045635496,24.20837482766008,60.912283936248166,51.6032081294002,51.18599824996123,60.8889529359857,44.09793555185135
=(,6.708143459165019,0.1472746714972915,0.19902435179508615,7.403906165860076,0.11211250759685881,14.967312937910627,18.09232637418176,19.75386211375627,19.560012828206546,27.977381048090283,24.850299972842944,33.38952278966506,37.25177314439348,18.598816950779803,31.62315038143951,31.458444720032848,34.94126847624679,39.24007528157935,33.42022118073032,22.284827398506476,19.829638846713387,19.754088384152713,17.398189252900426,31.27338292476451,49.2990086679216,34.792024920828666,0.19902435179508615,13.368860038624527,12.242554018592203,51.68142038818936,52.3843184142227,13.489313958046461,12.230922303001615,51.4830293455006,52.24493564269549,24.553068993522206,61.357785079406,52.09895036161423,51.346438428006444,61.20835728416262,44.010995841648906
=(,6.686081108916,0.15279661484000476,0.15782676842751373,7.312622478159741,0.11928303181015178,15.071922554423905,17.996376330671822,19.49578554213158,19.363315039034067,28.146199938297826,25.045241110831522,33.67888995284605,37.061998349720696,18.598634510224947,31.743624833784274,31.649202366154007,35.38364324646966,39.6142951552634,33.51147324843279,21.990195506808103,20.22977195948492,20.22113424808961,17.866299971224926,31.710348905180396,49.409629348354464,34.59559339948325,0.15782676842751373,13.955278614596365,12.143867411981793,51.563582645101505,52.359623285672775,14.086929367570377,12.089116942024198,51.410540049953525,52.290404626977946,24.848905657231484,61.81239622375425,52.38318924874979,51.61345967780826,61.32324983746725,43.751066802584425
=(,6.769981783433335,0.14012666816268854,0.11850555730551258,7.295992562043836,0.12364372883895247,15.224090987347328,18.05704452774137,19.413055267538113,19.29770193418861,27.54038528535787,24.498689985983905,33.79525465935257,37.302041090219184,18.646680235186654,31.777264696115203,31.678863937746026,34.87455100820001,39.22993602718247,33.47696557275213,22.078116939384476,20.222603012827797,20.17728552815515,17.374969761164465,31.40281125359653,49.46272140919344,34.74367823989281,0.11850555730551258,13.54590770832457,11.93741523782551,51.69295663719312,52.488500904458334,13.61478674876761,11.93146386665706,51.5748976034071,52.40411651906103,24.48970326096888,61.331170868243,52.0649073667602,51.3816942402864,61.041598163734726,43.63955207940606
=(,6.708310657300237,0.16721011003271222,0.11387251135977206,7.419254425455291,0.20356080072211138,15.110309063895095,18.28739340978253,19.71995489182615,19.607048649380467,27.816741090389304,24.38373278014889,33.59184716909097,37.48733223075253,18.655089955684755,31.611655252500142,31.501211986173594,34.80278977763905,38.86308235150987,33.56672356433856,22.377096259305425,19.823831697345668,19.74728994731087,17.279319614670804,30.924805636177442,49.571309095763084,34.78535534159881,0.11387251135977206,13.122654982173943,11.934995381577647,51.96168545197488,52.3913484656913,13.156051204419494,11.965297805506736,51.857991952941,52.28883457611687,24.09000976662428,61.404608084908766,51.988322876488446,51.41830887950353,60.884720480648134,44.24011600956931
=(,6.807350782602943,0.12271469894752805,0.13314401025955985,7.445434777023899,0.16317669781660396,15.203329776773952,18.316272084095473,19.64585093463362,19.512722967893794,28.25753923243639,24.659505201678993,33.957808231786565,37.55539996214928,18.682638760004753,31.748011222392197,31.62470594442908,35.27132613907121,39.24247105074981,33.842449493048385,22.35283713710457,20.109500397824807,20.034847743344034,17.668622407267385,31.265184230270926,49.901437005150484,34.90330330515963,0.13314401025955985,13.78597312206048,11.869207189576493,52.180277519878835,52.634889451735646,13.843054237871263,11.891100197122274,52.05269017314692,52.52365239689739,24.522026940606757,62.21265369172318,52.48343311008481,51.99229278481722,61.27419021389707,44.20455527185901
=(,7.133671536483173,0.15980806917818055,0.22050321382201915,7.12723524734513,0.1254906149318779,15.225281798209236,18.46539051256514,20.10557421474044,19.91739953483871,28.7814159926727,25.073515936288153,33.24896188628502,37.65457366388195,18.668672279623028,32.14288486817505,32.008777122809505,35.70138253598124,39.6473427885273,33.28375806897604,22.43273806223532,20.471347777208244,20.454782047070648,18.10949903857504,31.710136640650365,49.31696812794238,35.003150169127444,0.22050321382201915,13.96007741636383,12.040701323472684,51.93625208565987,53.13226940406059,14.14204475287024,11.960541130793187,51.722472687620645,53.03382757016474,24.900435595168947,62.027739563794206,53.01835636196115,51.72846362463106,61.78208846959641,43.7700070259964
